index,name,name2,pos,sum,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,assists,goals,pim,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
8478039,Kaapo Kahkonen,"Kahkonen, Kaapo",G,0,1946:57,4.0,0.0,0.0,14.0,14.0,963.0,152.0,29.0,782.0,31.0,849.0,176.0,0.912,2.866,36,33.0,1056.0,93.0,54:04,86.36363636363636,93.54838709677419,92.10836277974087,,,,,,,,,,,,,,,,,,,,,,,,
8478058,CJ Suess,"Suess, CJ",LW,9,17:08,,,,,,,,,,,,,,,3,,,,05:42,,,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,00:03,17:05,2,50.0,0.0,0.0,0.0,0.0,0.0,00:00,5.0,0.0,0.0,27.0,05:41,00:00,00:01
8478067,Oskar Lindblom,"Lindblom, Oskar",LW,308,1090:16,,,,,,,,,,,,,,,79,,,,13:48,,,,14.0,12.0,22.0,127.0,83.0,0.0,1.0,45:09,981:30,22,36.36,9.4,1.0,0.0,0.0,0.0,63:37,48.0,-11.0,26.0,1599.0,12:25,00:48,00:34
8478414,Timo Meier,"Meier, Timo",RW,705,1475:01,,,,,,,,,,,,,,,77,,,,19:09,,,,41.0,35.0,54.0,326.0,162.0,12.0,18.0,203:53,1267:48,54,48.64,10.7,8.0,1.0,0.0,0.0,03:20,61.0,-3.0,76.0,1759.0,16:27,00:02,02:38
8478431,Evgeny Svechnikov,"Svechnikov, Evgeny",LW,262,774:22,,,,,,,,,,,,,,,72,,,,10:45,,,,12.0,7.0,38.0,78.0,104.0,0.0,0.0,01:24,772:50,38,42.85,9.0,1.0,0.0,0.0,0.0,00:08,22.0,-4.0,19.0,1050.0,10:44,00:00,00:01
8478904,Steven Lorentz,"Lorentz, Steven",C,182,729:32,,,,,,,,,,,,,,,67,,,,10:53,,,,5.0,8.0,8.0,80.0,67.0,0.0,0.0,01:41,699:35,8,45.53,10.0,1.0,0.0,0.0,0.0,28:16,13.0,0.0,13.0,1030.0,10:26,00:25,00:01
8479316,Luke Kunin,"Kunin, Luke",C,522,1134:02,,,,,,,,,,,,,,,82,,,,13:49,,,,9.0,13.0,99.0,125.0,223.0,0.0,2.0,77:30,996:37,99,44.03,10.4,0.0,0.0,0.0,0.0,59:55,51.0,-11.0,22.0,1568.0,12:09,00:43,00:56
8479393,Noah Gregor,"Gregor, Noah",C,375,940:57,,,,,,,,,,,,,,,63,,,,14:56,,,,15.0,8.0,25.0,156.0,118.0,0.0,3.0,77:13,843:51,25,34.28,5.1,1.0,0.0,0.0,0.0,19:53,49.0,-21.0,23.0,1296.0,13:23,00:18,01:13
8479705,Jeffrey Viel,"Viel, Jeffrey",LW,244,299:19,,,,,,,,,,,,,,,34,,,,08:48,,,,2.0,3.0,114.0,30.0,84.0,0.0,0.0,00:33,298:32,114,33.33,10.0,0.0,0.0,0.0,0.0,00:14,11.0,-2.0,5.0,438.0,08:46,00:00,00:00
8479981,Jonah Gadjovich,"Gadjovich, Jonah",LW,231,376:30,,,,,,,,,,,,,,,43,,,,08:45,,,,2.0,1.0,74.0,36.0,104.0,0.0,0.0,00:17,375:52,74,33.33,2.8,0.0,0.0,0.0,0.0,00:21,14.0,-9.0,3.0,568.0,08:44,00:00,00:00
8479983,Mario Ferraro,"Ferraro, Mario",D,371,1449:12,,,,,,,,,,,,,,,63,,,,23:00,,,,12.0,2.0,16.0,49.0,140.0,0.0,0.0,32:50,1250:43,16,0.0,4.1,1.0,0.0,0.0,0.0,165:39,151.0,-5.0,14.0,1721.0,19:51,02:37,00:31
8480060,Scott Reedy,"Reedy, Scott",C,97,391:31,,,,,,,,,,,,,,,35,,,,11:11,,,,2.0,7.0,10.0,33.0,14.0,3.0,3.0,54:21,336:49,10,40.15,21.2,2.0,0.0,0.0,0.0,00:21,26.0,-8.0,9.0,548.0,09:37,00:00,01:33
8480160,Radim Simek,"Simek, Radim",D,170,478:08,,,,,,,,,,,,,,,36,,,,13:16,,,,1.0,1.0,8.0,25.0,96.0,0.0,0.0,03:52,466:01,8,0.0,4.0,0.0,0.0,0.0,0.0,08:15,39.0,-13.0,2.0,694.0,12:56,00:13,00:06
8476432,Boone Jenner,"Jenner, Boone",C,375,1207:25,,,,,,,,,,,,,,,59,,,,20:27,,,,21.0,23.0,22.0,160.0,80.0,8.0,10.0,175:16,937:28,22,53.58,14.4,3.0,0.0,0.0,0.0,94:41,56.0,-11.0,44.0,1463.0,15:53,01:36,02:58
